State,Abbreviation,Region,Biomass,Geothermal,Solar,Wind,Hydro,Renewable,Non-renewable,HPS,Coal,Petroleum,Gas,Nuclear,Other,Total Non-Hydro,Total
Alabama,AL,Southeast,3291196,0,0,0,11753493,15044689,127916130,0,55659872,163054,32369863,39716204,7137,3291196,142960819
Alaska,AK,Alaska,4255,0,0,3062,1204550,1211867,5329807,0,566822,1191884,3571101,0,0,7317,6541675
Arizona,AZ,West,159646,0,13759,9555,6348463,6531423,105535178,169480,39783826,67337,34852150,30661851,534,182960,112066601
Arkansas,AR,Southeast,1478310,0,0,0,4195168,5673478,51825691,100365,25075250,87674,11368417,15169966,24019,1478310,57499169
California,CA,California,6062630,13022836,611763,5764637,27707085,53168951,151655296,144453,1948279,1638019,115749546,31734676,440323,25461867,204824249
Colorado,CO,West,50528,0,16530,2942133,2058215,5067406,45383981,-108658,31641090,15552,13802364,0,33633,3009191,50451388
Connecticut,CT,New England,753801,0,0,0,623123,1376924,29795335,5385,2453497,288349,9678195,16657387,712522,753801,31172260
Delaware,DE,Mid Atlantic,138302,0,0,0,0,138302,4872332,0,2910909,268773,1686773,0,5877,138302,5010634
District of Columbia,DC,Mid Atlantic,0,0,0,0,0,0,35499,0,0,35499,0,0,0,0,35499
Florida,FL,Florida,4237764,0,10225,0,244526,4492515,212661713,0,54052312,8962843,117733704,29336059,2576795,4247989,217154227
Georgia,GA,Southeast,2931302,0,0,0,3055512,5986814,122451906,271988,69524670,644996,20301025,31682579,26648,2931302,128438721
Hawaii,HI,Hawaii,294674,167591,25,213224,92855,768369,10016650,0,1521169,8288819,40378,0,166284,675513,10785018
Idaho,ID,West,477948,107079,0,227028,9506510,10318565,1622993,0,72994,124,1549875,0,0,812055,11941557
Illinois,IL,Mid Atlantic,752801,0,0,2761152,161280,3675233,189539113,0,90949011,110882,4364445,94050482,64293,3513953,193214345
Indiana,IN,Mid Atlantic,263428,0,0,1403192,520261,2186881,114480881,0,108590677,154666,5390611,0,344927,1666620,116667762
Iowa,IA,Midwest,175258,0,0,7331391,737337,8243986,43404240,0,37491842,92859,1140568,4678931,40,7506649,51648226
Kansas,KS,Heartland,0,0,0,2385107,12366,2397473,43746974,0,32242988,124354,2611084,8768548,0,2385107,46144448
Kentucky,KY,Southeast,380464,0,0,0,3353205,3733669,87264297,0,84379768,2028175,843725,0,12629,380464,90997966
Louisiana,LA,Southeast,2493390,0,0,0,1236351,3729741,87377038,0,23075071,1815819,45313617,16782077,390454,2493390,91106779
Maine,ME,New England,3637795,0,0,260121,4588721,8486637,8387155,0,72386,480670,7481945,0,352154,3897916,16873792
Maryland,MD,Mid Atlantic,539982,0,0,0,1948148,2488130,41638139,0,24414551,346732,2070846,14550119,255891,539982,44126270
Massachusetts,MA,New England,1259419,0,67,3798,1276194,2539478,37636424,-533636,9896296,864489,21242542,5396021,770712,1263284,40175901
Michigan,MI,Midwest,2250155,0,0,289188,1320648,3859991,97781959,-856864,67822266,379469,8244775,21851009,341304,2539343,101641950
Minnesota,MN,Midwest,1543617,0,0,4956987,695633,7196237,45445313,0,30091455,60295,2559675,12393425,340463,6500604,52641549
Mississippi,MS,Southeast,1397118,0,0,0,0,1397118,47372249,0,12970797,17028,23380703,10998515,5206,1397118,48769367
Missouri,MO,Southeast,56857,0,0,498515,1914728,2470100,86176770,566713,71848215,86777,3400527,10247116,27422,555372,88646870
Montana,MT,West,100425,0,0,810815,9141899,10053139,15846368,0,15164571,489689,81800,0,110308,911240,25899507
Nebraska,NE,Midwest,60163,0,0,288681,401434,750278,33220033,0,23427525,24899,332467,9435142,0,348844,33970311
Nevada,NV,West,890,1616677,150858,0,2446365,4214790,33604972,0,7507244,17727,26080001,0,0,1768426,37819763
New Hampshire,NH,New England,1089623,0,0,28466,1580928,2699017,17286741,0,2885668,171818,5352728,8816673,59854,1118088,19985757
New Jersey,NJ,Mid Atlantic,914529,0,2438,19150,37117,973234,61529064,0,5345449,304336,21037564,34327954,513761,936117,62502299
New Mexico,NM,West,17433,0,0,1543715,300873,1862021,37892060,0,29084699,43480,8759510,0,4371,1561148,39754081
New York,NY,New York,2081064,0,0,2258904,28317958,32657926,102817922,-480387,13152552,2717386,42954141,43484614,989616,4339969,135475849
North Carolina,NC,Southeast,2019959,0,2322,0,4921505,6943786,112049909,43077,65853978,287979,4926167,40847711,90997,2022280,118993695
North Dakota,ND,Midwest,8453,0,0,2756289,1475251,4239993,29862630,0,29812959,48076,757,0,838,2764742,34102623
Ohio,OH,Mid Atlantic,599703,0,0,15474,498109,1113286,134835833,0,113824221,1311952,4747936,14937336,14388,615177,135949118
Oklahoma,OK,Heartland,192385,0,0,2271590,3762026,6226001,69019558,-116831,34200892,19609,34915888,0,0,2463975,75245559
Oregon,OR,West,751004,0,0,3372284,32717791,36841079,19020741,0,3196902,5657,15776934,0,41248,4123288,55861820
Pennsylvania,PA,Mid Atlantic,2143017,0,0,921137,2820836,5884990,212491999,-560345,104927415,930953,29623748,76727686,842542,3064154,218376989
Rhode Island,RI,New England,152776,0,0,0,6135,158911,7569540,0,0,16262,7553278,0,0,152776,7728451
South Carolina,SC,Southeast,1733561,0,0,0,2102247,3835808,96361371,-976443,35157227,523380,9402119,52149734,105354,1733561,100197178
South Dakota,SD,Midwest,5775,0,0,392308,4319205,4717288,3354453,0,3190913,10089,122133,0,31318,398083,8071741
Tennessee,TN,Southeast,896431,0,0,51747,9482290,10430468,68536038,-649832,41634519,178151,410411,26962001,788,948178,78966504
Texas,TX,Texas,1382743,0,0,19367239,1501345,22251327,374225827,0,139106597,1347315,191652532,41497617,621766,20749982,396477155
Utah,UT,West,29266,279121,0,64497,696991,1069875,42376923,0,35715484,50180,6424511,0,186748,372884,43446797
Vermont,VT,New England,373143,0,0,11589,1663593,2048325,5368616,0,0,3577,4431,5360608,0,384732,7416941
Virginia,VA,Mid Atlantic,2465738,0,0,0,1414565,3880303,67279380,-1215619,26539392,1110821,12204843,28212252,427691,2465738,71159684
Washington,WA,West,1437051,0,0,3538936,73932815,78908802,25684602,52383,7477773,47275,11409482,6634014,63675,4975987,104593404
West Virginia,WV,Mid Atlantic,0,0,0,742439,1576275,2318714,68456207,0,68135764,170674,149347,0,422,742439,70774921
Wisconsin,WI,Midwest,1251837,0,0,1059126,1605407,3916370,57418293,0,38330917,730117,5601116,12683151,72992,2310963,61334663
Wyoming,WY,West,0,0,0,2213820,853609,3067429,42610505,0,41756839,50087,803579,0,0,2213820,45677968